gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0019862,Wes Ours,Wes,John,Ours,,,,OUR428041,,OursWe00,,,3999851,32004f55-5242-8041-4665-f56b3b42bbbc,1977-12-30,RB,RB,,,72.0,284.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycodlwsoqc6lxb2nfcvi",West Virginia,,44,2001,2001,IND,ACT,,,0,,,,,,
00-0020387,Milton Wynn,Milton,Milton,Wynn,,,,WYN140616,26336,WynnMi00,,,2665,32005759-4e14-0616-f95d-8e86abaae87e,1978-09-21,WR,WR,,,75.0,207.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nv2pcayqepsurftvbdmz",Washington State; Bakersfield College,,85,2001,2003,BAL,CUT,,,3,,,2001.0,4.0,116.0,LA
00-0040307,Josh Priebe,Josh,Josh,Priebe,J.Priebe,Josh,,PRI417896,58743,PrieJo00,129733,12828,4432503,32005052-4941-7896-3b23-94c0429d4815,2001-07-30,OL,G,OL,G,77.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z8bgbhmsahpeyrozqgpi",Michigan; Northwestern,Big Ten Conference,68,2025,2025,MIA,DEV,DEV,Practice Squad,0,,,,,,
MAT219394,Reggie Mathis,Reggie,Reginald,Mathis,,,,MAT219394,,MathRe20,,,,32004d41-5421-9394-55b2-4bcf4bc20c4b,1956-03-18,LB,OLB,,,74.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yf1cnmgc3jnzrlkcejdd",Oklahoma; Navarro,,0,1979,1980,NO,ACT,,,2,,,1979.0,2.0,38.0,NO
00-0015124,Chuck Smith,Chuck,Charles,Smith,,,,SMI136060,,SmitCh23,,,307,3200534d-4913-6060-9f2e-c845eb12ae90,1969-12-21,DL,DE,,,74.0,262.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zu038iuwuau2dh1slzfs",Tennessee; Northeast Oklahoma,,91,1992,2000,CAR,RES,,,9,,,1992.0,2.0,51.0,ATL
00-0034843,Mike Hughes,Mike,Michael,Hughes,M.Hughes,Mike,,HUG542324,46099,HughMi00,34057,6915,3895841,32004855-4754-2324-a94f-a4e9cd1c93c1,1997-02-11,DB,CB,DB,CB,70.0,191.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fzxie6iznr3i8qc2pmnv",UCF; Garden City CC; North Carolina,American Athletic Conference,21,2018,2025,ATL,ACT,ACT,Active,8,CB,A,,,,
00-0030530,T.J. McDonald,T.J.,Timothy,McDonald,T.McDonald,T.J.,Jr.,MCD574475,40019,McDoTJ00,7852,2222,15852,32004d43-4457-4475-e3dc-707c089d86f6,1991-01-26,DB,S,,,74.0,223.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jnxntrxxoeo7zcqaa0pv",USC,,22,2013,2018,MIA,ACT,CUT,,6,LB,,2013.0,3.0,71.0,LA
00-0036223,Jonathan Taylor,Jonathan,Jonathan,Taylor,J.Taylor,Jonathan,,TAY431618,52449,TaylJo02,57488,8781,4242335,32005441-5943-1618-c081-5dd6b2d0b829,1999-01-19,RB,RB,RB,RB,70.0,226.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",Wisconsin,Big Ten Conference,28,2020,2025,IND,ACT,ACT,Active,6,HB,A,2020.0,2.0,41.0,IND
00-0004267,Ron Dickerson,Ron,Ronald,Dickerson,,,,DIC285860,,DickRo20,,,7440,32004449-4328-5860-f799-2c2b0152848f,1971-08-31,WR,WR,,,72.0,211.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ziaus8gu6ia2g8qsxiec",Arkansas,,0,1993,1994,KC,RES,,,2,,,,,,
00-0029574,Josh Chapman,Josh,Joshua,Chapman,,,,CHA430904,38666,ChapJo00,7646,569,15039,32004348-4143-0904-411e-bb2cf8d25ca4,1989-06-10,DL,NT,,,72.0,340.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u06xzsenswsjdcxkdpsr",Alabama,,96,2012,2014,IND,ACT,,,3,DI,,2012.0,5.0,136.0,IND
00-0039813,Evan Williams,Evan,Evan,Williams,E.Williams,Evan,,WIL277058,57232,WillEv00,73864,11719,4428863,32005749-4c27-7058-ee24-9b66ebbbc9c8,2001-07-28,DB,SAF,DB,SAFETY,71.0,200.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/phwdofvsdjhqecxyx1kb",Oregon; Fresno State,Pacific Twelve Conference,33,2024,2025,GB,ACT,ACT,Active,2,S,A,2024.0,4.0,111.0,GB
00-0031624,Edmond Robinson,Edmond,Edmond,Robinson,E.Robinson,Edmond,,ROB413992,42575,RobiEd00,9665,4080,3137087,3200524f-4241-3992-da1b-b375f486580e,1992-02-23,LB,LB,,,75.0,245.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/laxxbklw8na3w5v5uij0",Newberry,South Atlantic Conference,48,2015,2021,SEA,DEV,DEV,PS; Vet,5,LB,A,2015.0,7.0,232.0,MIN
00-0027195,Rafael Bush,Rafael,Rafael,Bush,R.Bush,Rafael,,BUS288052,35698,BushRa00,5779,1927,13544,32004255-5328-8052-264a-170159fa18bd,1987-05-12,DB,DB,,,71.0,203.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jjczucq2drlicupfncho",South Carolina State,Mid-Eastern Athletic Conference,20,2010,2018,BUF,ACT,ACT,Active,8,CB,,,,,
